import time: self [us] | cumulative | imported package
import time:      1293 |       1921 |   pyqtgraph.graphicsItems.ArrowItem
import time:       839 |        839 |     pyqtgraph.Point
import time:       746 |        746 |             xml
import time:       981 |       1727 |           xml.etree
import time:      1362 |       1362 |           xml.etree.ElementPath
import time:      1466 |       1466 |             copy
import time:      1594 |       1594 |             pyexpat
import time:      2611 |       5670 |           _elementtree
import time:      2940 |      11697 |         xml.etree.ElementTree
import time:       895 |        895 |             pyqtgraph.GraphicsScene.mouseEvents
import time:      2349 |       3243 |           pyqtgraph.GraphicsScene.GraphicsScene
import time:      1642 |       4885 |         pyqtgraph.GraphicsScene
import time:      5639 |      22219 |       pyqtgraph.graphicsItems.GraphicsItem
import time:      1942 |      24161 |     pyqtgraph.graphicsItems.GraphicsWidget
import time:      2552 |      27551 |   pyqtgraph.graphicsItems.AxisItem
import time:       773 |        773 |     pyqtgraph.graphicsItems.GraphicsObject
import time:      1406 |       2178 |   pyqtgraph.graphicsItems.BarGraphItem
import time:      2441 |       2441 |     pyqtgraph.graphicsItems.ScatterPlotItem
import time:      2011 |       4452 |   pyqtgraph.graphicsItems.BoxplotItem
import time:       851 |        851 |   pyqtgraph.graphicsItems.ButtonItem
import time:       929 |        929 |         pyqtgraph.graphicsItems.TextItem
import time:       792 |        792 |             pyqtgraph.graphicsItems.ItemGroup
import time:       882 |        882 |               pyqtgraph.WidgetGroup
import time:       746 |        746 |               pyqtgraph.graphicsItems.ViewBox.axisCtrlTemplate_generic
import time:      3933 |       5559 |             pyqtgraph.graphicsItems.ViewBox.ViewBoxMenu
import time:      3351 |       9701 |           pyqtgraph.graphicsItems.ViewBox.ViewBox
import time:       765 |      10466 |         pyqtgraph.graphicsItems.ViewBox
import time:      1923 |      13317 |       pyqtgraph.graphicsItems.InfiniteLine
import time:      2193 |      15510 |     pyqtgraph.graphicsItems.LinearRegionItem
import time:       800 |        800 |         pyqtgraph.icons
import time:       627 |        627 |           pyqtgraph.widgets
import time:      1123 |       1749 |         pyqtgraph.widgets.FileDialog
import time:       705 |        705 |           pyqtgraph.graphicsItems.GraphicsWidgetAnchor
import time:      1495 |       2200 |         pyqtgraph.graphicsItems.LabelItem
import time:       756 |        756 |               pyqtgraph.Qt.OpenGLConstants
import time:      6530 |       6530 |               pyqtgraph.Qt.OpenGLHelpers
import time:      1896 |       9180 |             pyqtgraph.graphicsItems.PlotCurveItem
import time:      4480 |      13660 |           pyqtgraph.graphicsItems.PlotDataItem
import time:      3079 |      16738 |         pyqtgraph.graphicsItems.LegendItem
import time:      1111 |       1111 |         pyqtgraph.graphicsItems.PlotItem.plotConfigTemplate_generic
import time:      4499 |      27094 |       pyqtgraph.graphicsItems.PlotItem.PlotItem
import time:      2141 |      29235 |     pyqtgraph.graphicsItems.PlotItem
import time:       745 |        745 |       pyqtgraph.graphicsItems.GradientPresets
